NONE;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;x;
AFG_1209;Pashtunistan;Pashtunistan;Pashtunistan;Pashtunistan;Pashtunistán;Pashtunistan;Pashtunistan;Pashtunistan;Pashtunistan;Pashtunistan;Pashtunistan;;Pashtunistan;;
AFG_1214;Kandahar;Kandahar;Kandahar;Kandahar;Kandahar;Kandahar;Kandahar;Kandahar;Kandahar;Kandahar;Kandahar;;Kandahar;;
ALD_1704;Oran;Oran;Oran;Oran;Orán;Orano;Oan;Oran;Orán;Oran;Oran;;Oran;;
ALD_1708;Constantine;Constantine;Konstantin;Konstantyna;Constantino;Costantino;Konstant;Constantine;Konstantin;Constantine;Constantino;;Constantiini;;
ALD_1713;North Central Sahara;Sahara du Centre-Nord;North Central Sahara;North Central Sahara;Sahara del Norte Central;Sahara del Nord Centrale;Norra centrala sahara;Severní centrální Sahara;Észak-Közép-Szahara;Noord-Centraal Sahara;Sahara do Norte Central;;Pohjois-Sahara;;
ARG_2360;Entre Rios;Entre Rios;Entriefernrios;Entre Rios;Entre Rios;Entre rios;Entre Rios;Entre rios;Entre rios;Entre Rios;Entre Rios;;Entre Rios;;
ARG_2374;Catamarca;Catamarca;Katamarca;Catamarca;Catamarca;Catamarca;Katamarca;Katamarca;Katamarca;Catamarca;Catamarca;;Catamarca;;
ASH_1909;Gold Coast;Côte d'or;Goldküste;Gold Coast;Costa Dorada;Costa d'Oro;Guld kust;Zlaté pobreží;Milliomosnegyed;Gouden Kust;Costa Dourada;;Kultarannikko;;
AST_1097;New Caledonia;Nouvelle Calédonie;Neu-Kaledonien;Nowa Kaledonia;Nueva Caledonia;Nuova Caledonia;Nya Kaledonien;Nová Kaledonie;Új-Kaledónia;Nieuw-Caledonië;Nova Caledônia;;Uusi-Caledonia;;
AST_2454;Fiji;Fidji;Fidschi;Fidzi;Fiji;Fiji;Fiji;Fidži;Fidzsi;Fiji;Fiji;;Fiji;;
AST_2534;Solomon Islands;îles Salomon;Salomon-Inseln;Wyspy Salomona;Islas Salomón;Isole Salomone;Salomonöarna;Solomonovy ostrovy;Salamon-szigetek;Solomon eilanden;Ilhas Salomão;;Solomonsaaret;;
AST_2535;Melanesian Islands;Îles mélanésiennes;Melanesische Inseln;Wyspy Melanezyjne;Islas Melanesias;Isole melansiane;Melanesiska öar;Melanesian ostrovy;Melanéziai szigetek;Melanesische eilanden;Ilhas Melanesianas;;Melanesiansaaret;;
AUS_2538;Vojvodina;Vojvodina;Vojvodina;Vojvodina;Voyvodina;Vojvodina;Vojvodina;Vojvodina;Vojvodina;Vojvodina;Vojvodina;;Vojvodina;;
AUS_652;Banat;Banat;Banat;Banat;Banat;Banhat;Banat;Banat;Bánat;Banaat;Banat;;Banat;;
AUS_654;Western Transylvania;Transylvanie occidentale;Westerntrandylvania;Zachodnia Transylvania;Transilvania occidental;Transilvania occidentale;Västra transylvanien;Západní transylvánsko;Nyugat-Erdély;Westerse transylvanië;Transilvânia ocidental;;Western Transylvania;;
